Date,Close,Open,High,Low,Volume,Change %
2019-03-19,11532.4,11500.3,11543.85,11451.25,326100000.0,0.61%
2019-03-20,11521.05,11553.35,11556.1,11503.1,366300000.0,-0.10%
2019-03-22,11456.9,11549.2,11572.8,11434.55,386190000.0,-0.56%
2019-03-25,11354.25,11395.65,11395.65,11311.6,294460000.0,-0.90%
2019-03-26,11483.25,11375.2,11496.75,11352.45,282580000.0,1.14%
2019-03-27,11445.05,11531.45,11546.2,11413.0,350450000.0,-0.33%
2019-03-28,11570.0,11463.65,11588.5,11452.45,527679999.99999994,1.09%
2019-03-29,11623.9,11625.45,11630.35,11570.15,416280000.0,0.47%
2019-04-01,11669.15,11665.2,11738.1,11644.75,379570000.0,0.39%
2019-04-02,11713.2,11711.55,11729.35,11655.85,386130000.0,0.38%
2019-04-03,11643.95,11735.3,11761.0,11629.15,365760000.0,-0.59%
2019-04-04,11598.0,11660.2,11662.55,11559.2,349030000.0,-0.39%
2019-04-05,11665.95,11638.4,11689.65,11609.5,266670000.00000003,0.59%
2019-04-08,11604.5,11704.35,11710.3,11549.1,260930000.0,-0.53%
2019-04-09,11671.95,11612.05,11683.9,11569.7,300470000.0,0.58%
2019-04-10,11584.3,11646.85,11680.05,11571.75,359940000.0,-0.75%
2019-04-11,11596.7,11592.55,11606.7,11550.55,279780000.0,0.11%
2019-04-12,11643.45,11612.85,11657.35,11578.8,246010000.0,0.40%
2019-04-15,11690.35,11667.0,11704.6,11648.25,290000000.0,0.40%
2019-04-16,11787.15,11736.2,11810.95,11731.55,354320000.0,0.83%
2019-04-18,11752.8,11856.15,11856.15,11738.5,339650000.0,-0.29%
2019-04-22,11594.45,11727.05,11727.05,11583.95,260360000.0,-1.35%
2019-04-23,11575.95,11612.95,11645.95,11564.8,272540000.0,-0.16%
2019-04-24,11726.15,11601.5,11740.85,11578.85,335200000.0,1.30%
2019-04-25,11641.8,11735.7,11796.75,11624.3,604360000.0,-0.72%
2019-04-26,11754.65,11683.75,11762.9,11661.75,333480000.0,0.97%
2019-04-30,11748.15,11748.75,11756.25,11655.9,532630000.0,-0.06%
2019-05-02,11724.75,11725.55,11789.3,11699.55,380280000.0,-0.20%
2019-05-03,11712.25,11722.6,11770.9,11699.35,305520000.0,-0.11%
2019-05-06,11598.25,11605.8,11632.55,11571.35,299050000.0,-0.97%
2019-05-07,11497.9,11651.5,11657.05,11484.45,337500000.0,-0.87%
2019-05-08,11359.45,11478.7,11479.1,11346.95,372830000.0,-1.20%
2019-05-09,11301.8,11322.4,11357.6,11255.05,373030000.0,-0.51%
2019-05-10,11278.9,11314.15,11345.8,11251.05,387320000.0,-0.20%
2019-05-13,11148.2,11258.7,11300.2,11125.6,357590000.0,-1.16%
